Baseline,Transect,Location,Total Hits,Hits by Loc,Native,Introduced,Prop native,Prop Intro
B10,B10-0,lower,22,9,9,0,1,0
B10,B10-0,middle,22,4,3,1,0.75,0.25
B10,B10-0,upper,22,9,0,9,0,1
B10,B10-12.5,lower,20,3,3,0,1,0
B10,B10-12.5,middle,20,8,4,4,0.5,0.5
B10,B10-12.5,upper,20,9,0,9,0,1
B10,B10-25,lower,19,2,2,0,1,0
B10,B10-25,middle,19,4,2,2,0.5,0.5
B10,B10-25,upper,19,13,0,13,0,1
B10,B10-37.5,lower,16,2,1,1,0.5,0.5
B10,B10-37.5,middle,16,5,1,4,0.2,0.8
B10,B10-37.5,upper,16,9,1,8,0.111111111,0.888888889
B10,B10-50,lower,4,0,0,0,0,0
B10,B10-50,middle,4,0,0,0,0,0
B10,B10-50,upper,4,4,0,4,0,1
B13,B13-0,lower,16,0,0,0,0,0
B13,B13-0,middle,16,6,6,0,1,0
B13,B13-0,upper,16,10,6,4,0.6,0.4
B13,B13-12.5,lower,12,3,2,1,0.666666667,0.333333333
B13,B13-12.5,middle,12,4,3,1,0.75,0.25
B13,B13-12.5,upper,12,5,0,5,0,1
B13,B13-25,lower,2,0,0,0,0,0
B13,B13-25,middle,2,0,0,0,0,0
B13,B13-25,upper,2,2,0,2,0,1
B13,B13-35.5,lower,11,3,0,3,0,1
B13,B13-35.5,middle,11,4,2,2,0.5,0.5
B13,B13-35.5,upper,11,4,0,4,0,1
B13,B13-50,lower,9,1,0,1,0,1
B13,B13-50,middle,9,1,0,1,0,1
B13,B13-50,upper,9,7,0,7,0,1
B14,B14-0,lower,13,1,1,0,1,0
B14,B14-0,middle,13,3,1,2,0.333333333,0.666666667
B14,B14-0,upper,13,9,1,8,0.111111111,0.888888889
B14,B14-12.5,lower,28,8,8,0,1,0
B14,B14-12.5,middle,28,11,2,9,0.181818182,0.818181818
B14,B14-12.5,upper,28,9,0,9,0,1
B14,B14-25,lower,14,2,2,0,1,0
B14,B14-25,middle,14,4,0,4,0,1
B14,B14-25,upper,14,8,0,8,0,1
B14,B14-36.5,lower,14,0,0,0,0,0
B14,B14-36.5,middle,14,1,0,1,0,1
B14,B14-36.5,upper,14,13,0,13,0,1
B14,B14-50,lower,15,3,1,2,0.333333333,0.666666667
B14,B14-50,middle,15,6,0,6,0,1
B14,B14-50,upper,15,6,0,6,0,1
B15,B15-0,lower,11,1,1,0,1,0
B15,B15-0,middle,11,4,4,0,1,0
B15,B15-0,upper,11,6,0,6,0,1
B15,B15-14,lower,31,7,7,0,1,0
B15,B15-14,middle,31,11,10,1,0.909090909,0.090909091
B15,B15-14,upper,31,13,0,13,0,1
B15,B15-25,lower,28,5,5,0,1,0
B15,B15-25,middle,28,11,11,0,1,0
B15,B15-25,upper,28,12,3,9,0.25,0.75
B15,B15-37.5,lower,18,5,5,0,1,0
B15,B15-37.5,middle,18,4,2,2,0.5,0.5
B15,B15-37.5,upper,18,9,0,9,0,1
B15,B15-50,lower,17,3,1,2,0.333333333,0.666666667
B15,B15-50,middle,17,6,3,3,0.5,0.5
B15,B15-50,upper,17,8,0,8,0,1
B17,B17-0,lower,17,5,5,0,1,0
B17,B17-0,middle,17,6,6,0,1,0
B17,B17-0,upper,17,6,2,4,0.333333333,0.666666667
B17,B17-12.5,lower,22,6,5,1,0.833333333,0.166666667
B17,B17-12.5,middle,22,9,5,4,0.555555556,0.444444444
B17,B17-12.5,upper,22,9,0,9,0,1
B17,B17-25,lower,16,5,5,0,1,0
B17,B17-25,middle,16,4,3,1,0.75,0.25
B17,B17-25,upper,16,7,0,7,0,1
B17,B17-37.5,lower,10,2,0,2,0,1
B17,B17-37.5,middle,10,4,2,2,0.5,0.5
B17,B17-37.5,upper,10,4,0,4,0,1
B17,B17-50,lower,8,0,0,0,0,0
B17,B17-50,middle,8,1,0,1,0,1
B17,B17-50,upper,8,7,2,5,0.285714286,0.714285714
B18,B18-0,lower,18,2,2,0,1,0
B18,B18-0,middle,18,7,6,1,0.857142857,0.142857143
B18,B18-0,upper,18,9,3,6,0.333333333,0.666666667
B18,B18-12.5,lower,20,7,7,0,1,0
B18,B18-12.5,middle,20,5,5,0,1,0
B18,B18-12.5,upper,20,8,0,8,0,1
B18,B18-25,lower,18,7,5,2,0.714285714,0.285714286
B18,B18-25,middle,18,5,0,5,0,1
B18,B18-25,upper,18,6,0,6,0,1
B18,B18-37.5,lower,14,6,4,2,0.666666667,0.333333333
B18,B18-37.5,middle,14,4,0,4,0,1
B18,B18-37.5,upper,14,4,0,4,0,1
B18,B18-50,lower,17,6,6,0,1,0
B18,B18-50,middle,17,5,2,3,0.4,0.6
B18,B18-50,upper,17,6,0,6,0,1
B3,B3-0,lower,7,0,0,0,0,0
B3,B3-0,middle,7,0,0,0,0,0
B3,B3-0,upper,7,7,2,5,0.285714286,0.714285714
B3,B3-10,lower,8,0,0,0,0,0
B3,B3-10,middle,8,0,0,0,0,0
B3,B3-10,upper,8,8,0,8,0,1
B3,B3-20,lower,14,0,0,0,0,0
B3,B3-20,middle,14,3,2,1,0.666666667,0.333333333
B3,B3-20,upper,14,11,0,11,0,1
B3,B3-29,lower,6,0,0,0,0,0
B3,B3-29,middle,6,2,0,2,0,1
B3,B3-29,upper,6,4,0,4,0,1
B3,B3-41,lower,11,0,0,0,0,0
B3,B3-41,middle,11,2,0,2,0,1
B3,B3-41,upper,11,9,0,9,0,1
B5,B5-0,lower,13,1,0,1,0,1
B5,B5-0,middle,13,6,0,6,0,1
B5,B5-0,upper,13,6,0,6,0,1
B5,B5-12.5,lower,15,3,0,3,0,1
B5,B5-12.5,middle,15,6,4,2,0.666666667,0.333333333
B5,B5-12.5,upper,15,6,0,6,0,1
B5,B5-25,lower,12,2,0,2,0,1
B5,B5-25,middle,12,4,0,4,0,1
B5,B5-25,upper,12,6,0,6,0,1
B5,B5-37.5,lower,8,1,1,0,1,0
B5,B5-37.5,middle,8,1,0,1,0,1
B5,B5-37.5,upper,8,6,1,5,0.166666667,0.833333333
B5,B5-50,lower,13,2,1,1,0.5,0.5
B5,B5-50,middle,13,4,0,4,0,1
B5,B5-50,upper,13,7,0,7,0,1
B7,B7-0,lower,11,3,1,2,0.333333333,0.666666667
B7,B7-0,middle,11,2,0,2,0,1
B7,B7-0,upper,11,6,0,6,0,1
B7,B7-12.5,lower,7,1,0,1,0,1
B7,B7-12.5,middle,7,1,0,1,0,1
B7,B7-12.5,upper,7,5,0,5,0,1
B7,B7-25,lower,11,2,0,2,0,1
B7,B7-25,middle,11,3,0,3,0,1
B7,B7-25,upper,11,6,0,6,0,1
B7,B7-37.5,lower,9,2,0,2,0,1
B7,B7-37.5,middle,9,2,1,1,0.5,0.5
B7,B7-37.5,upper,9,5,0,5,0,1
B7,B7-50,lower,6,1,0,1,0,1
B7,B7-50,middle,6,0,0,0,0,0
B7,B7-50,upper,6,5,0,5,0,1
