Baseline,Transect,Total Hits,Hit by Loc,Location,caremo,prop caremo,elyrep,prop elyrep,conarv,prop conarv,broine,prop broine,cirarv,prop cirarv,phaaru,prop phaaru,taroff,prop taroff,dacglo,prop dacglo,symlan,prop symlan,symocc,prop symocc,brotec,prop brotec,rhacat,prop rhacat,medsat,prop medsat,pruvir,prop pruvir,rumcri,prop rumcri,scharu,prop scharu
B10,B10-0,25,12,upper ,0,0,9,0.75,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-12.5,18,10,upper ,0,0,0,0,0,0,9,0.9,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-25,17,2,lower,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-25,17,3,middle,0,0,0,0,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-25,17,12,upper ,0,0,2,0.166666667,0,0,5,0.416666667,0,0,0,0,0,0,5,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-37.5,24,2,lower,0,0,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-37.5,24,6,middle,0,0,5,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-37.5,24,16,upper ,0,0,8,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-50,5,5,upper ,0,0,3,0.6,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-0,23,7,middle,0,0,0,0,0,0,0,0,0,0,4,0.571428571,0,0,0,0,0,0,3,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-0,23,16,upper ,0,0,7,0.4375,1,0.0625,0,0,1,0.0625,0,0,0,0,0,0,3,0.1875,3,0.1875,1,0.0625,0,0,0,0,0,0,0,0,0,0
B13,B13-12.5,13,2,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-12.5,13,3,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.666666667,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0
B13,B13-12.5,13,8,upper ,0,0,2,0.25,2,0.25,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0
B13,B13-25,3,3,upper ,0,0,0,0,0,0,2,0.666666667,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-35.5,9,3,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
B13,B13-35.5,9,2,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B13,B13-35.5,9,4,upper ,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-50,11,1,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
B13,B13-50,11,1,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-50,11,9,upper ,0,0,0,0,2,0.222222222,6,0.666666667,0,0,0,0,1,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-0,18,1,lower,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-0,18,5,middle,0,0,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1,0.2,0,0
B14,B14-0,18,12,upper ,0,0,4,0.333333333,0,0,0,0,5,0.416666667,0,0,0,0,0,0,0,0,0,0,1,0.083333333,0,0,1,0.083333333,1,0.083333333,0,0,0,0
B14,B14-12.5,29,8,lower,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-12.5,29,10,middle,0,0,5,0.5,0,0,0,0,3,0.3,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-12.5,29,11,upper ,0,0,4,0.363636364,1,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091,0,0,1,0.090909091,0,0,4,0.363636364,0,0
B14,B14-25,13,5,middle,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0,0
B14,B14-25,13,8,upper ,0,0,0,0,0,0,3,0.375,0,0,0,0,1,0.125,3,0.375,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0,0
B14,B14-36.5,19,1,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-36.5,19,18,upper ,0,0,0,0,0,0,9,0.5,0,0,0,0,4,0.222222222,4,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,1,0.055555556,0,0
B14,B14-50,19,2,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-50,19,6,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.666666667,0,0,0,0,0,0,2,0.333333333,0,0,0,0,0,0,0,0
B14,B14-50,19,11,upper ,0,0,4,0.363636364,0,0,0,0,0,0,0,0,4,0.363636364,2,0.181818182,0,0,0,0,0,0,1,0.090909091,0,0,0,0,0,0,0,0
B15,B15-0,15,1,lower,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-0,15,5,middle,0,0,0,0,0,0,0,0,0,0,1,0.2,2,0.4,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0
B15,B15-0,15,9,upper ,0,0,5,0.555555556,1,0.111111111,0,0,1,0.111111111,0,0,0,0,0,0,1,0.111111111,0,0,0,0,0,0,1,0.111111111,0,0,0,0,0,0
B15,B15-14,35,7,lower,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-14,35,10,middle,0,0,0,0,0,0,1,0.1,0,0,9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-14,35,18,upper ,0,0,7,0.388888889,2,0.111111111,2,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,5,0.277777778,0,0,2,0.111111111,0,0,0,0,0,0
B15,B15-25,26,1,lower,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-25,26,12,middle,0,0,0,0,0,0,0,0,1,0.083333333,11,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-25,26,13,upper ,0,0,4,0.307692308,2,0.153846154,1,0.076923077,0,0,3,0.230769231,0,0,0,0,0,0,0,0,3,0.230769231,0,0,0,0,0,0,0,0,0,0
B15,B15-37.5,28,6,lower,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-37.5,28,8,middle,0,0,0,0,0,0,4,0.5,0,0,1,0.125,0,0,0,0,3,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-37.5,28,14,upper ,0,0,3,0.214285714,1,0.071428571,1,0.071428571,2,0.142857143,0,0,1,0.071428571,0,0,2,0.142857143,0,0,2,0.142857143,0,0,2,0.142857143,0,0,0,0,0,0
B15,B15-50,19,3,lower,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-50,19,6,middle,0,0,3,0.5,0,0,0,0,0,0,2,0.333333333,0,0,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-50,19,10,upper ,0,0,2,0.2,2,0.2,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,2,0.2,0,0,2,0.2,0,0,0,0,0,0
B17,B17-0,21,6,lower,0,0,0,0,0,0,0,0,0,0,5,0.833333333,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-0,21,7,middle,0,0,1,0.142857143,0,0,0,0,0,0,1,0.142857143,0,0,0,0,0,0,5,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-0,21,8,upper ,0,0,3,0.375,1,0.125,0,0,2,0.25,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-12.5,24,6,lower,0,0,0,0,0,0,1,0.166666667,0,0,5,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-12.5,24,10,middle,0,0,0,0,1,0.1,3,0.3,1,0.1,2,0.2,0,0,0,0,2,0.2,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0
B17,B17-12.5,24,8,upper ,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-25,14,6,lower,0,0,0,0,1,0.166666667,0,0,0,0,5,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-25,14,1,middle,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-25,14,7,upper ,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-37.5,8,2,lower,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-37.5,8,2,middle,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-37.5,8,4,upper ,0,0,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-50,7,1,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
B17,B17-50,7,6,upper ,0,0,0,0,0,0,4,0.666666667,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0,0,0
B18,B18-0,22,2,lower,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-0,22,9,middle,0,0,0,0,0,0,0,0,2,0.222222222,7,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-0,22,11,upper ,0,0,0,0,0,0,5,0.454545455,3,0.272727273,3,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-12.5,19,6,lower,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-12.5,19,5,middle,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-12.5,19,8,upper ,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-25,19,7,lower,0,0,0,0,0,0,2,0.285714286,1,0.142857143,4,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-25,19,6,middle,0,0,0,0,0,0,5,0.833333333,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-25,19,6,upper ,0,0,0,0,0,0,5,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0
B18,B18-37.5,15,5,lower,0,0,0,0,0,0,1,0.2,0,0,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-37.5,15,6,middle,0,0,0,0,1,0.166666667,5,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-37.5,15,4,upper ,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-50,16,5,upper ,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-0,9,9,upper ,0,0,0,0,0,0,3,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.333333333,0,0,3,0.333333333,0,0,0,0
B3,B3-10,13,13,upper ,0,0,0,0,0,0,7,0.538461538,6,0.461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-20,17,3,middle,0,0,0,0,0,0,0,0,1,0.333333333,0,0,2,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-20,17,14,upper ,0,0,0,0,0,0,11,0.785714286,3,0.214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-29,6,2,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B3,B3-29,6,4,upper ,0,0,0,0,0,0,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0
B3,B3-41,12,2,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B3,B3-41,12,10,upper ,0,0,0,0,0,0,9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0
B5,B5-0,14,1,lower,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-0,14,7,middle,0,0,0,0,0,0,5,0.714285714,0,0,0,0,2,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-0,14,6,upper ,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-12.5,21,3,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
B5,B5-12.5,21,9,middle,0,0,0,0,0,0,0,0,0,0,0,0,4,0.444444444,0,0,2,0.222222222,0,0,0,0,1,0.111111111,0,0,2,0.222222222,0,0,0,0
B5,B5-12.5,21,9,upper ,0,0,0,0,1,0.111111111,0,0,0,0,0,0,4,0.444444444,2,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.222222222
B5,B5-25,15,3,lower,0,0,0,0,0,0,1,0.333333333,0,0,0,0,2,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-25,15,5,middle,0,0,0,0,1,0.2,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-25,15,7,upper ,0,0,0,0,1,0.142857143,6,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-37.5,9,1,middle,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-37.5,9,8,upper ,0,0,0,0,0,0,5,0.625,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125
B5,B5-50,19,2,lower,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-50,19,5,middle,0,0,0,0,0,0,4,0.8,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-50,19,12,upper ,0,0,0,0,3,0.25,7,0.583333333,2,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-0,8,3,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,2,0.666666667
B7,B7-0,8,5,upper ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
B7,B7-12.5,7,1,lower,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-12.5,7,1,middle,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-12.5,7,5,upper ,0,0,3,0.6,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
B7,B7-25,11,2,lower,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-25,11,3,middle,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-25,11,6,upper ,0,0,3,0.5,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-37.5,12,2,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
B7,B7-37.5,12,3,middle,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0,1,0.333333333
B7,B7-37.5,12,7,upper ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.142857143,2,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.571428571
B7,B7-50,6,6,upper ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0,5,0.833333333,0,0,0,0,0,0,0,0
B18,B18-50,16,5,middle,1,0.2,1,0.2,0,0,2,0.4,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,B18-50,16,6,lower,2,0.333333333,0,0,0,0,0,0,0,0,4,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-0,25,4,middle,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-12.5,18,5,middle,4,0.8,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-0,25,9,lower,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-12.5,18,3,lower,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-50,5,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-50,5,0,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-0,23,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-25,3,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-25,3,0,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-25,13,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-36.5,19,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B17,B17-50,7,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-0,9,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-0,9,0,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-10,13,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-10,13,0,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-20,17,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-29,6,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3-41,12,0,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,B5-37.5,9,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-0,8,0,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-50,6,0,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,B7-50,6,0,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
